answer,candidate_id,gate_id,gate_version,severity,result,observed_value,envelope,reason
WATERMELON,WATERMELON-ac97eb72,STRUCTURAL_CERTIFICATION,m10.gates.0,MANDATORY,PASS,"{""certified"":true,""score"":110}","""certified=true; replay score>=100""",M6 certification and Gold replay passed.
WATERMELON,WATERMELON-ac97eb72,DATA_INTEGRITY,m10.gates.0,MANDATORY,PASS,"{""policyVersion"":""m10.0"",""gateVersion"":""m10.gates.0"",""selectorVersion"":""m10.0"",""generatorVersion"":""m6.0"",""rulesVersion"":""qjynn-rules-local"",""vocabularyVersion"":""1.0"",""simulatorVersion"":""m8.1"",""playerModelVersion"":""m8.1.players.0"",""familiarity"":{""provider"":""wordfreq"",""sourceVersion"":""v3.2"",""packageVersion"":""3.1.1"",""sourceRevision"":""42233e6c36ce792031bcccfa17cdd0cec9af5fa7"",""normalizationVersion"":""zipf-linear-v1"",""source"":""https://github.com/rspeer/wordfreq"",""license"":""Apache-2.0 code; included source data requires CC BY-SA 4.0 attribution"",""wordlist"":""large"",""language"":""en""},""publicationValidatorVersion"":""m10.validator.0""}","""known versions and grid hash""",Required versions and grid hash are present.
WATERMELON,WATERMELON-ac97eb72,REAL_FAMILIARITY,m10.gates.0,MANDATORY,PASS,"{""provider"":""wordfreq"",""sourceVersion"":""v3.2"",""packageVersion"":""3.1.1"",""sourceRevision"":""42233e6c36ce792031bcccfa17cdd0cec9af5fa7"",""normalizationVersion"":""zipf-linear-v1"",""source"":""https://github.com/rspeer/wordfreq"",""license"":""Apache-2.0 code; included source data requires CC BY-SA 4.0 attribution"",""wordlist"":""large"",""language"":""en""}","""wordfreq with source and normalization metadata""",Approved real familiarity provider is active.
WATERMELON,WATERMELON-ac97eb72,COMPARATIVE_DIFFICULTY,m10.gates.0,QUALITY,PASS,"""middle""","""middle""",Candidate is in the preferred middle band.
WATERMELON,WATERMELON-ac97eb72,MEDAL_DISTRIBUTION,m10.gates.0,QUALITY,PASS,"{""gold"":0.072,""silver"":0.778,""bronze"":0.15}","""not degenerate""",REGULAR medal distribution is non-degenerate.
WATERMELON,WATERMELON-ac97eb72,VOCABULARY_ACCESSIBILITY,m10.gates.0,QUALITY,WARN,"{""rareWordDependency"":1,""meanPlayedFamiliarity"":0.31227294260922694}","""rare dependency<=.95 and familiarity>=.1""",Vocabulary accessibility is an extreme relative diagnostic.
WATERMELON,WATERMELON-ac97eb72,MOVE_SPACE_SANITY,m10.gates.0,DIAGNOSTIC,PASS,4712,"{""p10"":4257,""p90"":5480}",Opportunity density is not a pool-tail outlier.
WATERMELON,WATERMELON-ac97eb72,TILE_PARTICIPATION,m10.gates.0,DIAGNOSTIC,WARN,1549,"""<=0.9""",Tile participation is uneven but not a hard validity failure.
WATERMELON,WATERMELON-ac97eb72,HEXALINK_SANITY,m10.gates.0,DIAGNOSTIC,PASS,0.244,""".01-.95""",Hexalink geometry and participation are non-pathological.
WATERMELON,WATERMELON-ac97eb72,HISTORICAL_SIMILARITY,m10.gates.0,QUALITY,PASS,81.038,"{""p10"":null,""p90"":null,""median"":null,""count"":0}",Historical envelope is in warm-up.
WATERMELON,WATERMELON-ac97eb72,SELECTION_MARGIN,m10.gates.0,QUALITY,PASS,"{""band"":""middle"",""rank"":6}","""middle band""",Candidate is in the selected relative region.
WATERMELON,WATERMELON-ac97eb72,MONTE_CARLO_STABILITY,m10.gates.0,QUALITY,PASS,0.510891527244719,"""<=2""",REGULAR score uncertainty is bounded.
WATERMELON,WATERMELON-ac97eb72,PUBLIC_PRIVATE_SEPARATION,m10.gates.0,MANDATORY,PASS,true,true,Public artifact contains no private fields.
WATERMELON,WATERMELON-ac97eb72,ARTIFACT_SCHEMA,m10.gates.0,MANDATORY,PASS,true,true,"Public, private, and queue schemas passed."
WATERMELON,WATERMELON-ac97eb72,REPRODUCIBILITY,m10.gates.0,MANDATORY,PASS,true,true,Regeneration reproduced candidate identity and hashes.
WATERMELON,WATERMELON-35253c0f,STRUCTURAL_CERTIFICATION,m10.gates.0,MANDATORY,PASS,"{""certified"":true,""score"":110}","""certified=true; replay score>=100""",M6 certification and Gold replay passed.
WATERMELON,WATERMELON-35253c0f,DATA_INTEGRITY,m10.gates.0,MANDATORY,PASS,"{""policyVersion"":""m10.0"",""gateVersion"":""m10.gates.0"",""selectorVersion"":""m10.0"",""generatorVersion"":""m6.0"",""rulesVersion"":""qjynn-rules-local"",""vocabularyVersion"":""1.0"",""simulatorVersion"":""m8.1"",""playerModelVersion"":""m8.1.players.0"",""familiarity"":{""provider"":""wordfreq"",""sourceVersion"":""v3.2"",""packageVersion"":""3.1.1"",""sourceRevision"":""42233e6c36ce792031bcccfa17cdd0cec9af5fa7"",""normalizationVersion"":""zipf-linear-v1"",""source"":""https://github.com/rspeer/wordfreq"",""license"":""Apache-2.0 code; included source data requires CC BY-SA 4.0 attribution"",""wordlist"":""large"",""language"":""en""},""publicationValidatorVersion"":""m10.validator.0""}","""known versions and grid hash""",Required versions and grid hash are present.
WATERMELON,WATERMELON-35253c0f,REAL_FAMILIARITY,m10.gates.0,MANDATORY,PASS,"{""provider"":""wordfreq"",""sourceVersion"":""v3.2"",""packageVersion"":""3.1.1"",""sourceRevision"":""42233e6c36ce792031bcccfa17cdd0cec9af5fa7"",""normalizationVersion"":""zipf-linear-v1"",""source"":""https://github.com/rspeer/wordfreq"",""license"":""Apache-2.0 code; included source data requires CC BY-SA 4.0 attribution"",""wordlist"":""large"",""language"":""en""}","""wordfreq with source and normalization metadata""",Approved real familiarity provider is active.
WATERMELON,WATERMELON-35253c0f,COMPARATIVE_DIFFICULTY,m10.gates.0,QUALITY,PASS,"""middle""","""middle""",Candidate is in the preferred middle band.
WATERMELON,WATERMELON-35253c0f,MEDAL_DISTRIBUTION,m10.gates.0,QUALITY,PASS,"{""gold"":0.064,""silver"":0.8,""bronze"":0.134}","""not degenerate""",REGULAR medal distribution is non-degenerate.
WATERMELON,WATERMELON-35253c0f,VOCABULARY_ACCESSIBILITY,m10.gates.0,QUALITY,WARN,"{""rareWordDependency"":1,""meanPlayedFamiliarity"":0.30094800539188443}","""rare dependency<=.95 and familiarity>=.1""",Vocabulary accessibility is an extreme relative diagnostic.
WATERMELON,WATERMELON-35253c0f,MOVE_SPACE_SANITY,m10.gates.0,DIAGNOSTIC,PASS,5435,"{""p10"":4257,""p90"":5480}",Opportunity density is not a pool-tail outlier.
