answer,mutation,rejected,error_count,codes
WATERMELON,grid,true,3,private.schema|private.answer|certificate.missing
WATERMELON,hexalink,true,3,private.schema|private.answer|certificate.missing
WATERMELON,certificate-score,true,1,hash.certificateHash
WATERMELON,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
WATERMELON,hash,true,1,hash.publicHash
WATERMELON,version,true,1,version.rules
OSCILLATED,grid,true,3,private.schema|private.answer|certificate.missing
OSCILLATED,hexalink,true,3,private.schema|private.answer|certificate.missing
OSCILLATED,certificate-score,true,1,hash.certificateHash
OSCILLATED,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
OSCILLATED,hash,true,1,hash.publicHash
OSCILLATED,version,true,1,version.rules
ABANDONING,grid,true,3,private.schema|private.answer|certificate.missing
ABANDONING,hexalink,true,3,private.schema|private.answer|certificate.missing
ABANDONING,certificate-score,true,1,hash.certificateHash
ABANDONING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABANDONING,hash,true,1,hash.publicHash
ABANDONING,version,true,1,version.rules
ABSOLUTELY,grid,true,3,private.schema|private.answer|certificate.missing
ABSOLUTELY,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSOLUTELY,certificate-score,true,1,hash.certificateHash
ABSOLUTELY,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSOLUTELY,hash,true,1,hash.publicHash
ABSOLUTELY,version,true,1,version.rules
ACCESSIBLE,grid,true,3,private.schema|private.answer|certificate.missing
ACCESSIBLE,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCESSIBLE,certificate-score,true,1,hash.certificateHash
ACCESSIBLE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCESSIBLE,hash,true,1,hash.publicHash
ACCESSIBLE,version,true,1,version.rules
ACCOUNTING,grid,true,3,private.schema|private.answer|certificate.missing
ACCOUNTING,hexalink,true,3,private.schema|private.answer|certificate.missing
ACCOUNTING,certificate-score,true,1,hash.certificateHash
ACCOUNTING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ACCOUNTING,hash,true,1,hash.publicHash
ACCOUNTING,version,true,1,version.rules
ADVENTURES,grid,true,3,private.schema|private.answer|certificate.missing
ADVENTURES,hexalink,true,3,private.schema|private.answer|certificate.missing
ADVENTURES,certificate-score,true,1,hash.certificateHash
ADVENTURES,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ADVENTURES,hash,true,1,hash.publicHash
ADVENTURES,version,true,1,version.rules
AGGRAVATED,grid,true,3,private.schema|private.answer|certificate.missing
AGGRAVATED,hexalink,true,3,private.schema|private.answer|certificate.missing
AGGRAVATED,certificate-score,true,1,hash.certificateHash
AGGRAVATED,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
AGGRAVATED,hash,true,1,hash.publicHash
AGGRAVATED,version,true,1,version.rules
AFTERTASTE,grid,true,3,private.schema|private.answer|certificate.missing
AFTERTASTE,hexalink,true,3,private.schema|private.answer|certificate.missing
AFTERTASTE,certificate-score,true,1,hash.certificateHash
AFTERTASTE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
AFTERTASTE,hash,true,1,hash.publicHash
AFTERTASTE,version,true,1,version.rules
AFFORDABLE,grid,true,3,private.schema|private.answer|certificate.missing
AFFORDABLE,hexalink,true,3,private.schema|private.answer|certificate.missing
AFFORDABLE,certificate-score,true,1,hash.certificateHash
AFFORDABLE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
AFFORDABLE,hash,true,1,hash.publicHash
AFFORDABLE,version,true,1,version.rules
ABATEMENTS,grid,true,3,private.schema|private.answer|certificate.missing
ABATEMENTS,hexalink,true,3,private.schema|private.answer|certificate.missing
ABATEMENTS,certificate-score,true,1,hash.certificateHash
ABATEMENTS,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABATEMENTS,hash,true,1,hash.publicHash
ABATEMENTS,version,true,1,version.rules
ABDICATING,grid,true,6,private.schema|private.answer|hexalink.lettersMismatch|hexalink.canonicalForward|hexalink.canonicalReverse|certificate.missing
ABDICATING,hexalink,true,3,private.schema|private.answer|certificate.missing
ABDICATING,certificate-score,true,1,hash.certificateHash
ABDICATING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABDICATING,hash,true,1,hash.publicHash
ABDICATING,version,true,1,version.rules
ABDUCTIONS,grid,true,3,private.schema|private.answer|certificate.missing
ABDUCTIONS,hexalink,true,3,private.schema|private.answer|certificate.missing
ABDUCTIONS,certificate-score,true,1,hash.certificateHash
ABDUCTIONS,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABDUCTIONS,hash,true,1,hash.publicHash
ABDUCTIONS,version,true,1,version.rules
ABHORRENCE,grid,true,3,private.schema|private.answer|certificate.missing
ABHORRENCE,hexalink,true,3,private.schema|private.answer|certificate.missing
ABHORRENCE,certificate-score,true,1,hash.certificateHash
ABHORRENCE,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABHORRENCE,hash,true,1,hash.publicHash
ABHORRENCE,version,true,1,version.rules
ABOLISHING,grid,true,3,private.schema|private.answer|certificate.missing
ABOLISHING,hexalink,true,3,private.schema|private.answer|certificate.missing
ABOLISHING,certificate-score,true,1,hash.certificateHash
ABOLISHING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABOLISHING,hash,true,1,hash.publicHash
ABOLISHING,version,true,1,version.rules
ABROGATING,grid,true,3,private.schema|private.answer|certificate.missing
ABROGATING,hexalink,true,3,private.schema|private.answer|certificate.missing
ABROGATING,certificate-score,true,1,hash.certificateHash
ABROGATING,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABROGATING,hash,true,1,hash.publicHash
ABROGATING,version,true,1,version.rules
ABSOLUTISM,grid,true,3,private.schema|private.answer|certificate.missing
ABSOLUTISM,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSOLUTISM,certificate-score,true,1,hash.certificateHash
ABSOLUTISM,privacy-answer,true,4,private.answer|privacy.leakage|public.privateField|hash.publicHash
ABSOLUTISM,hash,true,1,hash.publicHash
ABSOLUTISM,version,true,1,version.rules
ABSOLUTIST,grid,true,3,private.schema|private.answer|certificate.missing
ABSOLUTIST,hexalink,true,3,private.schema|private.answer|certificate.missing
ABSOLUTIST,certificate-score,true,1,hash.certificateHash
